video,frame,predicted,actual,state,conditions
video (43),1,False,False,normal,""
video (43),2,False,False,normal,""
video (43),3,False,False,normal,""
video (43),4,False,False,normal,""
video (43),5,False,False,normal,""
video (43),6,False,False,normal,""
video (43),7,False,False,normal,""
video (43),8,False,False,normal,""
video (43),9,False,False,normal,""
video (43),10,False,False,normal,""
video (43),11,False,False,normal,""
video (43),12,False,False,normal,""
video (43),13,False,False,normal,""
video (43),14,False,False,normal,""
video (43),15,False,False,normal,""
video (43),16,False,False,normal,""
video (43),17,False,False,normal,""
video (43),18,False,False,normal,""
video (43),19,False,False,normal,""
video (43),20,False,False,normal,""
video (43),21,False,False,normal,""
video (43),22,False,False,normal,""
video (43),23,False,False,normal,""
video (43),24,False,False,normal,""
video (43),25,False,False,normal,""
video (43),26,False,False,normal,""
video (43),27,False,False,normal,""
video (43),28,False,False,normal,""
video (43),29,False,False,normal,""
video (43),30,False,False,normal,""
video (43),31,False,False,normal,""
video (43),32,False,False,normal,""
video (43),33,False,False,normal,""
video (43),34,False,False,normal,""
video (43),35,False,False,normal,""
video (43),36,False,False,normal,""
video (43),37,False,False,normal,""
video (43),38,False,False,normal,""
video (43),39,False,False,normal,""
video (43),40,False,False,normal,""
video (43),41,False,False,normal,""
video (43),42,False,False,normal,""
video (43),43,False,False,normal,""
video (43),44,False,False,normal,""
video (43),45,False,False,normal,""
video (43),46,False,False,normal,""
video (43),47,False,False,normal,""
video (43),48,False,False,normal,""
video (43),49,False,False,normal,""
video (43),50,False,False,normal,""
video (43),51,False,False,normal,""
video (43),52,False,False,normal,""
video (43),53,False,False,normal,""
video (43),54,False,False,normal,""
video (43),55,False,False,normal,""
video (43),56,False,False,normal,""
video (43),57,False,False,normal,""
video (43),58,False,False,normal,""
video (43),59,False,False,normal,""
video (43),60,False,False,normal,""
video (43),61,False,False,normal,""
video (43),62,False,False,normal,""
video (43),63,False,False,normal,""
video (43),64,False,False,normal,""
video (43),65,False,False,normal,""
video (43),66,False,False,normal,""
video (43),67,False,False,normal,""
video (43),68,False,False,normal,""
video (43),69,False,False,normal,""
video (43),70,False,False,normal,""
video (43),71,False,False,normal,""
video (43),72,False,False,normal,""
video (43),73,False,False,normal,""
video (43),74,False,False,normal,""
video (43),75,False,False,normal,""
video (43),76,False,False,normal,""
video (43),77,False,False,normal,""
video (43),78,False,False,normal,""
video (43),79,False,False,normal,""
video (43),80,False,False,normal,""
video (43),81,False,False,normal,""
video (43),82,False,False,normal,""
video (43),83,False,False,normal,""
video (43),84,False,False,normal,""
video (43),85,False,False,normal,""
video (43),86,False,False,normal,""
video (43),87,False,False,normal,""
video (43),88,False,False,normal,""
video (43),89,False,False,normal,""
video (43),90,False,False,normal,""
video (43),91,False,False,normal,""
video (43),92,False,False,normal,""
video (43),93,False,False,normal,""
video (43),94,False,False,normal,""
video (43),95,False,False,normal,""
video (43),96,False,False,normal,""
video (43),97,False,False,normal,""
video (43),98,False,False,normal,""
video (43),99,False,False,normal,""
video (43),100,False,False,normal,""
video (43),101,False,False,normal,""
video (43),102,False,False,normal,""
video (43),103,False,False,normal,""
video (43),104,False,False,normal,""
video (43),105,False,False,normal,""
video (43),106,False,False,normal,""
video (43),107,False,False,normal,""
video (43),108,False,False,normal,""
video (43),109,False,False,normal,""
video (43),110,False,False,normal,""
video (43),111,False,False,normal,""
video (43),112,False,False,normal,""
video (43),113,False,False,normal,""
video (43),114,False,False,normal,""
video (43),115,False,False,normal,""
video (43),116,False,False,normal,""
video (43),117,False,False,normal,""
