video,frame,predicted,actual,state,conditions
video (1),1,False,False,low_confidence,"Keypoint low confidence"
video (1),2,False,False,low_confidence,"Keypoint low confidence"
video (1),3,False,False,low_confidence,"Keypoint low confidence"
video (1),4,False,False,low_confidence,"Keypoint low confidence"
video (1),5,False,False,normal,""
video (1),6,False,False,low_confidence,"Keypoint low confidence"
video (1),7,False,False,low_confidence,"Keypoint low confidence"
video (1),8,False,False,low_confidence,"Keypoint low confidence"
video (1),9,False,False,low_confidence,"Keypoint low confidence"
video (1),10,False,False,low_confidence,"Keypoint low confidence"
video (1),11,False,False,low_confidence,"Keypoint low confidence"
video (1),12,False,False,low_confidence,"Keypoint low confidence"
video (1),13,False,False,low_confidence,"Keypoint low confidence"
video (1),14,False,False,low_confidence,"Keypoint low confidence"
video (1),15,False,False,low_confidence,"Keypoint low confidence"
video (1),16,False,False,low_confidence,"Keypoint low confidence"
video (1),17,False,False,low_confidence,"Keypoint low confidence"
video (1),18,False,False,low_confidence,"Keypoint low confidence"
video (1),19,False,False,low_confidence,"Keypoint low confidence"
video (1),20,False,False,low_confidence,"Keypoint low confidence"
video (1),21,False,False,normal,""
video (1),22,False,False,normal,""
video (1),23,False,False,low_confidence,"Keypoint low confidence"
video (1),24,False,False,low_confidence,"Keypoint low confidence"
video (1),25,False,False,low_confidence,"Keypoint low confidence"
video (1),26,False,False,low_confidence,"Keypoint low confidence"
video (1),27,False,False,low_confidence,"Keypoint low confidence"
video (1),28,False,False,low_confidence,"Keypoint low confidence"
video (1),29,False,False,low_confidence,"Keypoint low confidence"
video (1),30,False,False,low_confidence,"Keypoint low confidence"
video (1),31,False,False,low_confidence,"Keypoint low confidence"
video (1),32,False,False,low_confidence,"Keypoint low confidence"
video (1),33,False,False,low_confidence,"Keypoint low confidence"
video (1),34,False,False,low_confidence,"Keypoint low confidence"
video (1),35,False,False,low_confidence,"Keypoint low confidence"
video (1),36,False,False,low_confidence,"Keypoint low confidence"
video (1),37,False,False,low_confidence,"Keypoint low confidence"
video (1),38,False,False,low_confidence,"Keypoint low confidence"
video (1),39,False,False,low_confidence,"Keypoint low confidence"
video (1),40,False,False,low_confidence,"Keypoint low confidence"
video (1),41,False,False,low_confidence,"Keypoint low confidence"
video (1),42,False,False,low_confidence,"Keypoint low confidence"
video (1),43,False,False,low_confidence,"Keypoint low confidence"
video (1),44,False,False,low_confidence,"Keypoint low confidence"
video (1),45,False,False,low_confidence,"Keypoint low confidence"
video (1),46,False,False,low_confidence,"Keypoint low confidence"
video (1),47,False,False,low_confidence,"Keypoint low confidence"
video (1),48,False,False,low_confidence,"Keypoint low confidence"
video (1),49,False,False,low_confidence,"Keypoint low confidence"
video (1),50,False,False,low_confidence,"Keypoint low confidence"
video (1),51,False,False,low_confidence,"Keypoint low confidence"
video (1),52,False,False,low_confidence,"Keypoint low confidence"
video (1),53,False,False,normal,"high_speed_2.7px"
video (1),53,False,False,normal,""
video (1),54,False,False,low_confidence,"Keypoint low confidence"
video (1),54,False,False,normal,"high_speed_24.2px"
video (1),55,False,False,low_confidence,"Keypoint low confidence"
video (1),55,False,False,normal,"high_speed_24.2px"
video (1),56,False,False,low_confidence,"Keypoint low confidence"
video (1),57,False,False,low_confidence,"Keypoint low confidence"
video (1),58,False,False,low_confidence,"Keypoint low confidence"
video (1),59,False,False,low_confidence,"Keypoint low confidence"
video (1),59,False,False,normal,"high_speed_33.1px"
video (1),60,False,False,low_confidence,"Keypoint low confidence"
video (1),61,False,False,low_confidence,"Keypoint low confidence"
video (1),62,False,False,low_confidence,"Keypoint low confidence"
video (1),63,False,False,low_confidence,"Keypoint low confidence"
video (1),64,False,False,low_confidence,"Keypoint low confidence"
video (1),64,False,False,normal,"high_speed_15.2px"
video (1),65,False,False,low_confidence,"Keypoint low confidence"
video (1),66,False,False,low_confidence,"Keypoint low confidence"
video (1),67,False,False,low_confidence,"Keypoint low confidence"
video (1),67,False,False,normal,""
video (1),68,False,False,low_confidence,"Keypoint low confidence"
video (1),68,False,False,normal,""
video (1),69,False,False,normal,""
video (1),69,False,False,normal,""
video (1),70,False,False,normal,""
video (1),71,False,False,normal,""
video (1),72,False,False,low_confidence,"Keypoint low confidence"
video (1),73,False,False,normal,""
video (1),74,False,False,normal,""
video (1),75,False,False,normal,""
video (1),76,False,False,normal,""
video (1),77,False,False,normal,""
video (1),78,False,False,normal,""
video (1),79,False,False,normal,""
video (1),80,False,False,normal,""
video (1),81,False,False,normal,""
video (1),82,False,False,normal,""
video (1),83,False,False,normal,""
video (1),84,False,False,normal,""
video (1),85,False,False,normal,""
video (1),86,False,False,normal,""
video (1),87,False,False,normal,"high_speed_8.0px"
video (1),88,False,False,normal,""
video (1),89,False,False,normal,""
video (1),90,False,False,normal,""
video (1),91,False,False,normal,""
video (1),92,False,False,normal,""
video (1),93,False,False,normal,""
video (1),94,False,False,normal,""
video (1),95,False,False,normal,""
video (1),96,False,False,normal,""
video (1),97,False,False,normal,""
video (1),98,False,False,normal,""
video (1),99,False,False,normal,""
video (1),100,False,False,normal,""
video (1),101,False,False,normal,""
video (1),102,False,False,normal,""
video (1),103,False,False,normal,""
video (1),104,False,False,normal,""
video (1),105,False,False,normal,""
video (1),106,False,False,normal,""
video (1),107,False,False,normal,""
video (1),108,False,False,normal,""
video (1),109,False,False,normal,""
video (1),110,False,False,normal,"high_speed_1.3px"
video (1),111,False,False,normal,""
video (1),112,False,False,normal,""
video (1),113,False,False,normal,""
video (1),114,False,False,normal,""
video (1),115,False,False,normal,""
video (1),116,False,False,normal,""
video (1),117,False,False,normal,""
video (1),118,False,False,normal,""
video (1),119,False,False,normal,"high_speed_6.7px"
video (1),120,False,False,normal,""
video (1),121,False,False,normal,""
video (1),122,False,False,normal,"high_speed_1.4px"
video (1),123,False,False,normal,"high_speed_22.3px"
video (1),124,False,False,normal,"high_speed_21.1px"
video (1),125,False,False,normal,"high_speed_5.2px"
video (1),126,False,False,normal,"high_speed_6.8px"
video (1),127,False,False,normal,"high_speed_39.2px"
video (1),128,False,False,normal,"high_speed_15.8px"
video (1),129,False,False,normal,"high_speed_16.5px"
video (1),130,False,False,normal,"high_speed_35.1px"
video (1),131,False,False,normal,"high_speed_9.3px"
video (1),132,False,False,normal,"high_speed_3.7px"
video (1),133,False,False,normal,"high_speed_26.3px"
video (1),134,False,False,normal,""
video (1),135,False,False,normal,"high_speed_33.0px"
video (1),136,False,False,normal,"high_speed_46.8px"
video (1),137,False,False,normal,"high_speed_47.5px"
video (1),138,False,False,normal,"high_speed_9.6px"
video (1),139,False,False,normal,"high_speed_113.7px"
video (1),140,False,False,normal,"high_speed_60.5px"
